dataset,model,mae,rmse
bold,baseline,2.472682304946456,4.091555245175645
bold,isotonic,2.152019407952601,3.442095224318308
bold,ridge,2.2456420109787403,3.5483173822841736
encode,baseline,2.4842787682333873,4.714019230928359
encode,isotonic,1.4256637519114623,2.639096786785725
encode,ridge,1.3456783574831275,3.2783529781594334
